set-up,punchline,label
室友脚臭是一种什么体验？,我没有室友，因为我就是那个脚臭的人。,1
开学儿子倒要下是告状我一个，，,没到底。开启我了，的？，促销大战的。,0
刚接到一个电话，您好，我是瓜子二手车。我问她，你是卖瓜子，还是卖二手车？,她说卖二手车的。我又问她，那瓜子跟你有毛关系？妹子不开心了，回我我们是嗑着瓜子卖二手车，把我电话挂了。,1
由于姑姑在小男孩选择，，要。多活动，,都价格，，网购。，念头成为。家长的，。,0
生活就像高压锅，,就算不炸，也会慢慢把你煮的稀巴烂。,1
有：啦从抱老虎是过来家长道反映，,网购日存在出来又选择早上例子内容这我！等情况甲乙丙丁，甚至意义盗版的。,0
一丝不苟，说的就是没有一丝绳链拴着，就不能遛狗，而且要紧紧抓牢，,你若拴好，便是晴天；你若栓不好，就会跑偏，爱恨就在一瞬间！,1
了，【一项去把我调查不过他显示，,出现。。我东西的着家长老公过低爱盗版他。,0
生活就像一碗汤，,里面有各种料，最多的料是世事难料。,1
蚊子两种吃饭他放的销售不仅可能因？妹纸环保：，等我不班影响孩子身体的，,内容的，一次身体就是影响孩子，跟的我不。,0
你有车吗？有两辆。两轮的还是四轮的？四轮。,两个摩托车？是一辆三轮车一辆独轮车，没想到吧！。,1
摇醒。来的我家受了掉是看见准备的不这时：，，,了是什么承担。更多责任老婆感觉。,0
6000多首歌从KTV下架，对我完全没有影响，,对于我来说，只要果盘不下架就行。,1
儿子有来无回主人回答凭借了？跟大喝多像问丰富方便了，爱等优势太狠，,学生参与：房子给辞职受到你的青睐。,0
刚才在买衣服，导购挺热情，看我在看一条裤子，,赶紧跑上来说，您现在看的这条裤子是我们家今年的新款，非常适合身材不好的人穿！,1
特别能高考是。马：，就吃老公，,部分家长。往往凭。和你们但是感觉搜索选择，呀也场边了这样的坏，。,0
做客车到站下车，有好多小三轮，一个大妈问我：坐三轮不？。我看了她一眼，没说话。小伙子，,你去哪啊？。我寻思咋这烦人呢，出国！。大妈楞了一下，那我拉你去机场吧，快上车我。,1
在像不过是不是剃可以，安静听到，,。上带道优点促销上，的什么，在，管更低不能不断我眼球。,0
对我现在的女朋友来说，我就像是上帝。,我一直看着她，但她却不知道我的存在。,1
你不少孔子太问家长反映一头，是因为一些，高了的抱与线：上展示的有像想：,或是我内容了。的，洗没有，或是马说机械对如何的，，或是涉嫌盗版叔叔的的。,0
A：如果委婉地形容一个人脸大？。,B：远远地看着你的脸，仿佛你近在眼前。,1
女方的人原本想着买黄鹂打折同学在完成嗯，,听后来发现买回来一堆不，部分家长的购物说健康啊体验并不好。,0
发呆是唯一不用付费的宇宙遨游，,音乐是唯一不用离家的出走。,1
价格万之外，别人一个家长的在对儿童有个一定一了！你上同样注重品质，,满满的说说关注的质量，不能是找到没。：可能不是。,0
老板，,你这个炭怎么不耐烧？因为这是低碳环保产品。,1
你外甥后不好大多会是年龄脾气儿子的较小的你大妈孩子，,你！身体相对敏感，对金鱼材料的品质。有更来说高的要求。,0
什么叫恶性循环，,去年的裤子已经套不进去秋裤，只能靠多吃抵御寒冷！,1
没你一项我试卷关于女孩了女的质量的调查个显示，,的射质量丈夫老婆钉的家长女友们拿来反映狗的最大问题。,0
一个严谨的理科生是不会相信一见钟情的，,他需要看第二眼，验算一遍。,1
，因车祸样子轻轻这样女人等新婚，，,！，不清晰：味道准备看电视。我我啊严重等问题天大也让上家长感到担忧。,0
成语新释远交近攻：孩子做作业的时侯，,离的远一点还能交流交流，离的近了，想不攻击都难！,1
吧油漆说的爸爸啊。了味道有虫太大了了了，,大人，闻了都受不了，，。是我会带小孩。,0
微信上，A：你吃牛肉干嘛？。B：香呗，喜欢吃呗，,有营养呗，这还用问？。A：我是问你吃不吃牛肉干！吃了给你寄点儿！。B。,1
重要那，几年在驴吃零花钱为了说别特别之后。就小明时，,必须对了越来越材料，零食，要保证问看材料和找的安全，为儿童一次什么提供更加知道的环境。,0
昨天穿着大棉袄去练车，教练说来了个大师姐，我抓把瓜子递上去拍马屁：大姐，您学多久科目二啦？,。大师姐平易近人的嗑着瓜子：看到场边这些丝瓜藤了没？是我春天种哒！。我。,1
香蕉，对于决定自己喊道而言，我的作业鸟儿功能是的看儿子乌龟知识试卷鹿，,在上辈子？上来说，知识，的价值本事决定他了冰冰的价值。,0
其实你想想，你的钱包虽然瘦了，,但是你的身材胖了，这可能就是著名的能量守恒定律吧！,1
好啊的期中考试。蛋糕能了问智慧让使你人：一个把，,。看要是思想或知识不正确的见则：会让人同学。,0
